n,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,# paths
38, 0.0, 3.8554614790515725e-15, 5.0534189034380407e-09, 5.9834801498499851e-06, 0.00023347602248428796, 0.0034440689939202458, 0.025387405856383587, 0.086885279872706736, 0.22430429558799744, 0.29488798759286577, 0.19854682324924816, 0.16630467429082116 ,518744645969590.0

39, 0.0, 1.5812202233877318e-15, 2.4870396217778511e-09, 2.8377480199241474e-06, 0.0001526318731733687, 0.0026910579169461958, 0.020998233045433502, 0.077808604358377748, 0.21447528588448542, 0.29816891822659147, 0.20541833333000459, 0.18028409512992657 ,1264845952776294.0

40, 0.0, 6.4849719542518922e-16, 1.6999945424838215e-09, 2.9246680300000284e-06, 0.00013376444624198285, 0.0022748945665324286, 0.019099127130621039, 0.07247519516259085, 0.20644726029107233, 0.29678228255379346, 0.21270103904026255, 0.19008351044086019 ,3084053430159700.0

41, 0.0, 2.6596471546535391e-16, 8.3665185455725043e-10, 1.3686495932058313e-06, 8.7051756494593385e-05, 0.0017758697609451487, 0.01575988852794348, 0.064597679989028711, 0.19640371489820166, 0.29827813369687706, 0.21876436865562018, 0.20433192322864382 ,7519794482890838.0

42, 0.0, 1.0907866563982666e-16, 5.7188602727373747e-10, 1.4338150205337944e-06, 7.6606017844339346e-05, 0.0014997306186567427, 0.014311909632302521, 0.060084043200167185, 0.18856187032790409, 0.29570794676420609, 0.22529800158241767, 0.2144584574695946 ,18335391144258392.0

43, 0.0, 4.4735850906912395e-17, 2.8145350339584672e-10, 6.6259687231273409e-07, 4.9653365850537792e-05, 0.0011702293117506761, 0.011787339872056778, 0.053338235713975862, 0.17860245508942596, 0.2956528500962719, 0.23053801915510919, 0.22886055451723333 ,44706872887288000.0

44, 0.0, 1.8347272901062911e-17, 1.9238504525323072e-10, 7.0491404402526173e-07, 4.3862905471385297e-05, 0.0009873154846580484, 0.010690301814168753, 0.049551630968913851, 0.17109947826863076, 0.29209185457513293, 0.23629535089062501, 0.23923949998597013 ,1.0900802592215949e+17

45, 0.0, 7.5246687761486952e-18, 9.4682222465420403e-11, 3.2195264628643987e-07, 2.8328502142457383e-05, 0.00077036816292438081, 0.0087912826232844979, 0.043837375983762944, 0.16144390480277754, 0.29071661159462647, 0.2407183476181948, 0.25369345866495846 ,2.6579243013851936e+17

46, 0.0, 3.0860518585688773e-18, 6.4719189014858814e-11, 3.47478269399649e-07, 2.5113490233486325e-05, 0.00064934521862424583, 0.0079643937865494212, 0.040683753709537036, 0.15438059128231074, 0.2863498174894305, 0.24569132636944607, 0.26425531111087996 ,6.4807724939770714e+17

47, 0.0, 1.2656658929486791e-18, 3.1851521307751621e-11, 1.569817673453068e-07, 1.6167566485161005e-05, 0.00050681795577724295, 0.0065417463708246299, 0.03588630317983009, 0.14518253741342435, 0.28387388406862279, 0.2493198117807244, 0.27867257465069245 ,1.580195856696833e+18

48, 0.0, 5.1908074105895031e-19, 2.1771822728222974e-11, 1.7170531979485554e-07, 1.4379227126887167e-05, 0.00042680061979263835, 0.0059210891984641679, 0.03327585161557816, 0.13861891228519102, 0.27887324446548156, 0.25351612195403389, 0.28935342890724008 ,3.8529651397196923e+18

49, 0.0, 2.1288779712238419e-19, 1.0714993029595863e-11, 7.6795827506257328e-08, 9.230758992048159e-06, 0.0003333197879188286, 0.0048588193798812223, 0.029277798749415197, 0.12997854050855254, 0.27549972522112326, 0.25638442623762592, 0.30365806254994843 ,9.3946202038543667e+18

